OBJECTID,PROVINCIA,DISTRITO,CORREGIMIENTO,CANTIDAD,HOSPITALIZADO,AISLAMIENTO_DOMICILIARIO,FALLECIDO,UCI,RECUPERADO,LONG,LAT,GlobalID,ratio_hospitalizados_fallecidos,ratio_recuperados_aislados,ratio_hospitalizados_recuperados,DISTANCIA_CANTIDAD
42,CHIRIQUÍ,BARÚ,PROGRESO,37,1,16,1,0,19,298279.2976,935591.408299999,6b54d97e-ba5e-4542-8493-1969c3187046,0.999999000001,1.1874999257812546,0.0526315761772854,36333582.196414754
43,CHIRIQUÍ,BARÚ,PUERTO ARMUELLES (CABECERA),2,0,2,0,0,0,288636.4304,916613.9461,603b5f98-dd17-4971-8093-ebda4646be06,0.0,0.0,0.0,1921969.9426776348
44,CHIRIQUÍ,BARÚ,RODOLFO AGUILAR DELGADO,1,0,1,0,0,0,291419.3673,925706.673800001,72e40285-b4dd-49db-af2c-4bc64dd92eb2,0.0,0.0,0.0,970493.7369995718
45,CHIRIQUÍ,BOQUERÓN,BAGALA,1,0,1,0,0,0,330289.9798,941944.352299999,6e2d68ca-85ad-4908-b1c5-c9291c51a652,0.0,0.0,0.0,998173.6490141128
46,CHIRIQUÍ,BOQUERÓN,BOQUERON (CABECERA),4,0,4,0,0,0,326062.4009,944432.5626,d7b92bf9-f7c1-4fb8-b5d3-ce294973c3e4,0.0,0.0,0.0,3996537.610642242
47,CHIRIQUÍ,BOQUERÓN,CORDILLERA,37,1,16,1,0,19,324390.6018,967723.446900001,385ce857-83cd-4156-ac06-7c86e959de1c,0.999999000001,1.1874999257812546,0.0526315761772854,37763896.107313365
48,CHIRIQUÍ,BOQUERÓN,GUABAL,37,1,16,1,0,19,329832.5349,952252.933599999,e7941bdc-ae51-4f72-8301-d3aa566157f3,0.999999000001,1.1874999257812546,0.0526315761772854,37287026.98272189
49,CHIRIQUÍ,BOQUERÓN,GUAYABAL,37,1,16,1,0,19,327370.4356,957654.646299999,1404cb0e-7a92-4843-9ef4-2890db91dd6f,0.999999000001,1.1874999257812546,0.0526315761772854,37446373.18385643
50,CHIRIQUÍ,BOQUERÓN,PARAISO,37,1,16,1,0,19,325769.8571,963169.2301,8325c5d3-7f6b-4da3-aef9-869cedfbc238,0.999999000001,1.1874999257812546,0.0526315761772854,37620485.1366265
51,CHIRIQUÍ,BOQUERÓN,PEDREGAL,37,1,16,1,0,19,324167.4441,938324.994200001,34fc63a9-20bb-4d7b-8a93-8d9e4681e2ed,0.999999000001,1.1874999257812546,0.0526315761772854,36731484.71071465
52,CHIRIQUÍ,BOQUERÓN,TIJERAS,1,0,0,0,0,1,327399.6191,936766.306,2255a898-b7ab-4788-95e2-ab9aafff9d8e,0.0,1000000.0,0.0,992331.4076676756
53,CHIRIQUÍ,BOQUETE,ALTO BOQUETE,14,0,12,0,0,2,343353.3611,959433.637800001,1c42b177-8087-498c-accd-371af31d4f7c,0.0,0.1666666527777789,0.0,14266298.379063817
54,CHIRIQUÍ,BOQUETE,BAJO BOQUETE,3,0,3,0,0,0,339638.0389,970791.8039,79769fd2-d345-4e99-9423-54264eb3d58f,0.0,0.0,0.0,3085468.6055582035
55,CHIRIQUÍ,BOQUETE,CALDERA,37,1,16,1,0,19,352573.91,963496.500700001,da6250dd-bb1c-4a2b-b659-f143cfa08e97,0.999999000001,1.1874999257812546,0.0526315761772854,37961240.31809657
56,CHIRIQUÍ,BOQUETE,JARAMILLO,37,1,16,1,0,19,347946.5813,969420.663899999,f3d30812-6c6e-4106-91c3-ffa851bc9e57,0.999999000001,1.1874999257812546,0.0526315761772854,38108980.63698984
57,CHIRIQUÍ,BOQUETE,LOS NARANJOS,37,1,16,1,0,19,338279.0333,976074.8397,3b173c87-ab3f-4969-a32a-52d458e513e5,0.999999000001,1.1874999257812546,0.0526315761772854,38222178.34167788
58,CHIRIQUÍ,BOQUETE,PALMIRA,37,1,16,1,0,19,336080.799,968900.4816,66f3617a-3db2-4cd2-ad89-205bfaddecd1,0.999999000001,1.1874999257812546,0.0526315761772854,37944730.24721523
59,CHIRIQUÍ,BUGABA,ASERRIO DE GARICHE,4,0,1,0,1,2,304165.5497,939957.6402,21c80691-0b87-4092-ab2d-eff7e1b03ff9,0.0,1.999998000002,0.0,3951783.490009858
60,CHIRIQUÍ,BUGABA,BUGABA,9,0,6,0,0,3,321570.0548,937956.9211,7b02da2f-457c-4aba-b231-65311000f909,0.0,0.4999999166666805,0.0,8923945.840527093
61,CHIRIQUÍ,BUGABA,EL BONGO,37,1,16,1,0,19,322561.4164,951647.7115,190a5c4a-5b46-4c7d-912b-00164a7d0ef5,0.999999000001,1.1874999257812546,0.0526315761772854,37178634.61123442
62,CHIRIQUÍ,BUGABA,GOMEZ,37,1,16,1,0,19,307436.3306,947538.1391,b010aca0-360d-4313-a6ce-49ac9367c7e7,0.999999000001,1.1874999257812546,0.0526315761772854,36858121.99631933
63,CHIRIQUÍ,BUGABA,LA CONCEPCION (CABECERA),1,0,1,0,0,0,320053.6588,946887.4454,f83b2dff-9aac-4d6f-b1be-9a5d199e6fca,0.0,0.0,0.0,999514.9717575044
64,CHIRIQUÍ,BUGABA,LA ESTRELLA,1,0,1,0,0,0,316388.7259,939835.431500001,f9e36c68-827d-4e6a-9051-df3054f9f664,0.0,0.0,0.0,991661.4665194056
65,CHIRIQUÍ,BUGABA,LA MATA,1,0,1,0,0,0,310949.1,955880.446599999,81fece4c-5dfd-43fd-9b42-da864ffe8c5e,0.0,0.0,0.0,1005184.9436710756
66,CHIRIQUÍ,BUGABA,SAN ISIDRO,3,0,2,0,0,1,300908.4622,942563.9364,11b26868-315e-49b7-949f-ede9c87db8d0,0.0,0.499999750000125,0.0,2968291.44314181
67,CHIRIQUÍ,BUGABA,SANTA MARTA,37,1,16,1,0,19,312779.7131,941696.4727,618cfe08-226e-4b32-9a0a-471007b72864,0.999999000001,1.1874999257812546,0.0526315761772854,36714430.79508734
68,CHIRIQUÍ,BUGABA,SANTA ROSA,37,1,16,1,0,19,315428.2037,952744.599300001,828a44c2-7dea-44a7-99f5-13580ac714de,0.999999000001,1.1874999257812546,0.0526315761772854,37133278.585924685
69,CHIRIQUÍ,BUGABA,SANTO DOMINGO,1,0,1,0,0,0,308715.9922,938693.769200001,d9e0ecf0-c8b1-4f9d-b913-421e0be37eb8,0.0,0.0,0.0,988155.6335795162
70,CHIRIQUÍ,BUGABA,SOLANO,37,1,16,1,0,19,322787.1127,942224.3782,d6aaa638-e470-4e5b-b786-c23997e0e0ec,0.999999000001,1.1874999257812546,0.0526315761772854,36851299.72376041
71,CHIRIQUÍ,BUGABA,SORTOVA,37,1,16,1,0,19,318258.3087,949071.010600001,64012ad5-9387-4f7d-aa90-721dbf8e86d7,0.999999000001,1.1874999257812546,0.0526315761772854,37037427.55300769
72,CHIRIQUÍ,DAVID,BIJAGUAL,37,1,16,1,0,19,353510.6833,940773.890000001,e92d7835-9f48-4259-931c-c0f4d5572b36,0.999999000001,1.1874999257812546,0.0526315761772854,37185005.80426809
73,CHIRIQUÍ,DAVID,CHIRIQUI,37,1,16,1,0,19,357311.4774,925492.463400001,6af1e951-7b5b-4bb9-9d29-a98882909f47,0.999999000001,1.1874999257812546,0.0526315761772854,36706681.50114242
74,CHIRIQUÍ,DAVID,COCHEA,37,1,16,1,0,19,349067.2901,946198.4309,8e809f18-c00c-47c8-9223-78f43a143d53,0.999999000001,1.1874999257812546,0.0526315761772854,37315732.58512038
75,CHIRIQUÍ,DAVID,DAVID (CABECERA),20,1,13,0,0,6,343300.1602,934428.261600001,7b17167c-3494-4012-b4dc-3cea53cdba13,1000000.0,0.4615384260355057,0.1666666388888935,19909908.85032019
76,CHIRIQUÍ,DAVID,DAVID ESTE,37,1,16,1,0,19,344615.8119,926669.758300001,1b66bd7c-23fa-4f48-ae01-71e64f023efb,0.999999000001,1.1874999257812546,0.0526315761772854,36580949.61043866
77,CHIRIQUÍ,DAVID,DAVID SUR,37,1,16,1,0,19,340659.31,928798.9559,eae305b8-09a3-47ea-9c9f-5e5bd815cf4f,0.999999000001,1.1874999257812546,0.0526315761772854,36604133.21079683
78,CHIRIQUÍ,DAVID,GUACA,37,1,16,1,0,19,334653.5533,950403.836300001,1a66a672-f3ec-459d-ab6c-79d205540b8e,0.999999000001,1.1874999257812546,0.0526315761772854,37281249.44083303
79,CHIRIQUÍ,DAVID,LAS LOMAS,9,1,5,1,0,2,538347.8542,952171.4857,41553b50-d431-4323-8e28-ca10b3aeeab7,0.999999000001,0.399999920000016,0.499999750000125,9844407.802120604
